word,PG,source
Aetheling,(EIGHTH-ling),Wiener
Aethelred,(ETH-ul-red),Wiener
Aethelwulf,(AA-thul-wolf),Wiener
Aether,(ee-ther),nsc18/AS.txt
Aetius,(EYE-tee-uss),Wiener
Afrikaans,(ah-free-KAHNZ),Wiener
Agamemnon,(ag-uh-MEM-nahn),Wiener
Aganippe,(AG-uh-nip-ee),Wiener
Agariste,(ah-gar-IS-tay),Wiener
Agate,(AGG-it),2018_CMST/15.pdf
Agathe’s,(ah-GAH-tuh’s),2018_CMST/12.pdf
Agelaus,(aj-uh-LAY-us),2018_IQBT_NASAT/Packet_17.pdf
Agesilaus,(aa-JESS-ee-LAY-us),Wiener
Agiad,(EY-jee-ad),Wiener
Agincourt,(AH-jin-cor),Wiener
Agnesi,(ahn-YAY-zee),nsc18/15.txt
Agnus Dei,(AHG-nuss day),Wiener
Agnès Sorel,(on-YES so-REL),2017_NASAT/Round_06.pdf
Agon,(AA-gohn),Wiener
Agostinho Neto,(a-goos-CHEE-nyu NYEH-tu),mysterium/01.txt
Agostinho Neto,(ah-goosh-TEEN-yoo NEToo),2018_CMST/08.pdf
Agra,(AH-grah),Wiener
Agricola,(aa-GRIK-oh-lah),Wiener
Agrippina,(ag-rip-EE-nuh),Wiener
Aguirre, the Wrath of God,Wiener
Agulhas,(aa-GOOL-yas),Wiener
Agwe,(UG-way),Wiener
Ah taci, ingiusto core!,Wiener
Ah! Non credea mirarti,(ah non creDAY-uh meer-AR-tee),2017_ACF_Fall/Chicago_A_Michigan_A_Rutgers_B_St._Olaf_Toronto_B_UCF_A.pdf
Ahaseurus,(AH-hosh-VAY-ros),Wiener
Ahasuerus,(ah-hahsh-VAIR-ohs),Wiener
Ahasuerus,(aha-SWARE-us),2017_NASAT/Round_12.pdf
Ahitophel,(ah-HIT-uh-fel),Wiener
Ahl al-Bayt,(AH-hull ull-BAIT),2017_NASAT/Round_03.pdf
Ahmadiyya,(akh-muh-DEE-uh),Wiener
Ahmed Kasuri,(koo-SOO-ree),Wiener
Ahmedinejad,(ah-mah-DIN-uh-jahd),Wiener
Ahura Mazda,(AH-hoo-ruh mahz-DAH),Wiener
Aias,(AI-uhs),Wiener
Aida,(ai-EE-duh),Wiener
Aimé Césaire,(ay-MAY say-ZAIR),mysterium/05.txt
Aimé Césaire,(ay-mee si-ZAIR),nsc16/09.txt
Ainnurruvar,(eyeNOO-ruh-var),2018_IQBT_NASAT/Packet_01.pdf
Ainu,(EYE-noo),Wiener
Aisha,(eye-EE-shuh),Wiener
Aix,(ex),Wiener
Aix-Marseille,(ex-mar-SAY),nsc18/03.txt
Aix-la-Chapelle,(EX-la-shah-PELL),2018_IQBT_NASAT/Packet_17.pdf
Aix-la-Chapelle,(EYE-lah-shah-PELL),Wiener
Ajuda,(uh-ZHOO-duh),2017_NASAT/Round_17.pdf
Ajuda,(uh-ZHOO-duh),2018_IQBT_NASAT/Packet_04.pdf
Akaky Akakievich,(uh-KAH-kee uh-kahk-YAY-vitch),Wiener
Akan,(uh-KON),2018_IQBT_NASAT/Packet_05.pdf
Akasaki,(AH-kuh-SAH-kee),Wiener
Akazu,(ah-KAH-zoo),Wiener
Akhenaten,(AH-ken-AH-ten),Wiener
Akhmat Kadyrov,(OK-mot KAH-dih-rov),2018_IQBT_NASAT/Packet_12.pdf
Akhmatova,(ahkh-MAH-tuh-vuh),2018_IQBT_NASAT/Packet_17.pdf
Al Borak,(al-BAW-rak),Wiener
Al-Shabab,(shuh-BOB),Wiener
Alain Touraine,(ah-LAN too-REN),2018_CMST/03.pdf
Alain-Fournier’s,(ah-LAN-foorn-YAY’s),2018_CMST/13.pdf
Alais,(ah-LESS),nsc18/11.txt
Alamogordo,(AL-uh-muh-GORE-doh),Wiener
Alan Guth,(GOOTH),Wiener
Alan,(Stewart),nsc18/03.txt
Alanis,(ah-LAHN-eece),Wiener
Alban Berg's,(ALL-bahn BAIRG's),nsc18/13.txt
Alban Berg,(ALL-bahn BAIRG),2018_IQBT_NASAT/Packet_09.pdf
Alban Berg,(ALL-bahn BAIRG),nsc18/19.txt
Albee,(III),mysterium/01.txt
Alberich,(AAL-beh-rik),Wiener
Albert Camus,(al-BAIR cah-MOO),Wiener
Albert Camus,(al-BAIR kah-MOO),nsc18/23.txt
Albert Camus’s,(ahl-BARE kuh-MOO’s),2018_CMST/16_Tiebreakers.pdf
Albigensian,(AL-bij-EN-si-un),Wiener
Albizzi,(al-BEET-see),Wiener
Alboran,(ahl-boh-RAHN),Wiener
Albrecht von Wallenstein,(AL-bresht von VAHL-ensh-teen),Wiener
Albunea,(al-BYOO-nee-uh),2018_CMST/07.pdf
Alcacer Quibir,(al-cah-SEAR kwi-BEER),2017_ACF_Fall/Editors_1.pdf
Alceo,(al-CHAY-oh),2016_Terrapin/Packet_09.pdf
Alceste,(al-SEST),Wiener
Alcestis,(all-CEST-is),Wiener
Alcibiades,(AAL-sib-ee-AH-deez),Wiener
Alcide De Gasperi,(AHL-chee-day),Wiener
Alcides,(al-SEE-dayz),Wiener
Alcindoro,(ahl-cheen-DOR-oh),Wiener
Alcinous's,(al-kih-NOH-us's),nsc18/24.txt
Alcinous,(al-KEE-no-uhs),Wiener
Alcippe,(al-KIP-ee),Wiener
Alcmene,(alk-MEE-nee),Wiener
Alcmene,(alk-MEE-nee),nsc17/22.txt
Alcyone,(al-SEE-uh-nee),Wiener
Alcázar,(ahl-CAH-zar),Wiener
Alec Leamas,(LEE-mas),Wiener
Alejo Carpentier,(ah-LAY-ho car-pen-tee-AIR),nsc18/15.txt
Aleksander Kwaśniewski,(KWAZ-nee-EV-skee),Wiener
Alesia,(aa-LEZ-ee-uh),Wiener
Alexander Dubček,(DOOB-check),Wiener
Alexander Herzen,(HURT-zen),Wiener
Alexei,(Kirillovich),nsc18/05.txt
Alexiares,(uh-lex-ee-ARR-eez),nsc18/18.txt
Alexis Tsipras,(TEE-pross),Wiener
Alfonso XIII,(the thirteenth),nsc18/05.txt
Alfred Wegener,(VEG-uh-ner),Wiener
Alfvén's,(all-VANE's),nsc17/03.txt
Alfvén,(all-VANE),2018_CMST/07.pdf
Algarve,(al-GARV),Wiener
Ali al-Nimr,(al-NAHM),Wiener
Ali,(AH-lee),Wiener
Alighieri,(ah-lig-YEH-ree),Wiener
Alija Izetbegović,(ah-LEE-ah ee-zet-BEG-oh-vitch),2018_CMST/01.pdf
Aljubarrota,(al-HOO-bah-rote-ah),2017_ACF_Fall/Editors_1.pdf
Allais,(ah-LAY),nsc18/14.txt
Allanque,(awl-LAWN-kay),Wiener
Almaty,(aal-MAH-tee),Wiener
Almaviva,(ahl-mah-VEE-vah),Wiener
Almásy,(ALL-mah-shee),2018_CMST/10.pdf
Aloadae,(ah-LOH-ah-dye),nsc18/24.txt
Alowatsakima,(ah-lo-wat-sa-KEE-mah),Wiener
Aloysius Bertrand,(ah-loy-zee-OOSE bair-TRAWN),nsc18/10.txt
Aloysius Lilius,(AA-loh-wish-us LIL-ee-us),Wiener
Also Sprach Zarathustra,(ALL-zoh shprock tsah-rah-TOOS-trah),nsc18/04.txt
Also Sprach Zarathustra,(SHPRAHK),Wiener
Althing,(ALL-thing),Wiener
Altranstadt,(AHL-tronsh-tot),Wiener
Alu,(AL-oo),nsc18/16.txt
Alvaro Uribe,(ahl-VAH-roh oo-REE-ay),Wiener
Alvaro,(oo-REE-bay),Wiener
Alvise da Cadamosto,(allVEE-say da kah-dah-MOH-stoo),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
Alxa,(AL-shuh),Wiener
Alès,(ah-LAY),Wiener
Amalekites,(ah-MAA-leh-kites),Wiener
Amalia von Edelreich,(ah-MALL-yah fon AID-ull-ryke),nsc18/01.txt
Amaltheia,(am-al-THEE-uh),Wiener
Amar Shonar Bangla,(ah-MAHR shoh-NAHR bahn-GLAH),Wiener
Amaterasu,(ah-MAH-ter-AH-soo),Wiener
Amazigh,(AA-muh-zig),Wiener
Amboise,(AM-bwah),Wiener
Ambroise Thomas,(awm-BWAHZ toh-MAH),nsc17/10.txt
Ambrosia,(am-BROH-juh),Wiener
Amharic,(am-HAH-rik),Wiener
Amidah,(ah-mee-DAH),nsc18/18.txt
Amitabha,(ah-mee-TAH-buh),2018_ACF_Regionals/R._Editors_1.pdf
Amitabha,(ah-mee-TAH-buh),Wiener
Amitābha,(uh-mee-TAH-buh),2018_IQBT_NASAT/Packet_14.pdf
Ammisaduqa,(ahm-mee-sah-DOO-kah),2018_ACF_Regionals/K._Chicago_A_+_Washington_A_+_NYU_A.pdf
Amneris,(ohm-NAY-rees),Wiener
Amontillado,(ah-mahn-tee-YAH-doh),Wiener
Amos Oz,(ah-MOSE OHZ),nsc18/04.txt
Amphiaraus,(am-fee-uh-RAY-us),2018_CMST/15.pdf
Amphictyonic,(am-FIK-tee-AH-nik),Wiener
Amphictyonic,(am-fik-tee-ON-ick),2018_IQBT_NASAT/Packet_11.pdf
Amphion,(AMF-ee-ahn),Wiener
Amphipolis,(am-FIP-oh-liss),Wiener
Amphitrite,(am-fih-TRY-tee),nsc18/09.txt
Amphitrite,(am-fit-RAI-tee),Wiener
Amphitryon's,(am-FIT-tree-on's),nsc17/22.txt
Amphitryon,(am-FIH-tree-ahn),Wiener
Amphitryon,(am-FIT-tree-on),2018_IQBT_NASAT/Packet_03.pdf
Amritsar,(AHM-reet-sahr),Wiener
Amun,(AH-mun),Wiener
Amun-her-Khepeshef,(ah-mun-hair-KEP-esh-eff),Wiener
Amymone,(ah-mee-MOH-nee),2018_CMST/13.pdf
Amélie Poulain,(ah-may-LEE poo-LAN),2018_CMST/15.pdf
An Jung-geun,(ahn joong-gun),2018_CMST/02.pdf
Anagni,(ahNAHN-yee),2018_CMST/15.pdf
Anangu,(ah-NAHN-goo),Wiener
Ananias,(aa-nuh-NAI-us),Wiener
Ananke,(A-nan-kee),Wiener
Anansi,(ah-NAHN-see),Wiener
Anastasiades,(an-tass-EYE-uh-deez),Wiener
Anastasio,(ah-nas-TASS-ee-oh),Wiener
Anaïs,(ah-nah-EES),2018_CMST/13.pdf
Anchises,(an-KAI-seez),Wiener
Anchises,(an-KYseez),2018_CMST/07.pdf
Andalzuá,(ahn-dal-zoo-AH),2018_ACF_Regionals/D._Wright_State_A_+_UIUC_B_+_Chicago_C.pdf
Andante cantabile,(on-DON-tay con-TAH-bee-lay),nsc18/05.txt
Andersen,(AWN-uh-sin),nsc18/01.txt
Andraste,(ohn-DROST),Wiener
Andre Derain,(duh-RAIN),Wiener
Andrea Mantegna,(ahn-DRAY-ah mahn-TANE-yah),nsc17/03.txt
Andreev,(on-DRAY-eff),nsc17/05.txt
Andrei Zhdanov,(juh-DON-off),Wiener
Andrew Carnegie,(car-NAYG-ee),Wiener
Androcles,(ANN-droh-kleez),nsc17/05.txt
Androgeus,(an-droh-JAY-uss),Wiener
Andromeda,(an-DRAHM-uh-duh),Wiener
András Schiff,(ON-drahsh SHEEF),2017_NASAT/Round_03.pdf
Andrés Núñez,(ohn-DRAYS NOON-yez),Wiener
Andvaranaut,(OND-var-uh-NOWT),2018_CMST/10.pdf
Anfao,(an-FOW),Wiener
Angers,(on-JAY),mysterium/09.txt
Angevin,(OHN-juh-vin),Wiener
Angevins,(ANN-juh-vins),2018_IQBT_NASAT/Packet_18.pdf
Angirasas,(un-GHEE-ruh-suhs),2018_IQBT_NASAT/Packet_05.pdf
Angrboda,(anger-bode-uh),Wiener
Anhedonia,(an-heh-DOH-nia),2017_NASAT/Round_18.pdf
Anicetus,(ann-ih-SEE-tuss),nsc18/18.txt
Animas River,(AA-nim-us),Wiener
Anjou,(on-JOO),Wiener
Ankhesenamun,(ohn-kes-en-AH-mun),Wiener
Ankou,(ahn-koo),Wiener
Anna Freud,(AH-nah FROYD),2018_IQBT_NASAT/Packet_11.pdf
Anna Sergeyevna,(SIR-gay-EV-nah),Wiener
Annibale Carracci,(ahn-nee-BAH-lay car-AH-chee),2018_CMST/10.pdf
Annwn,(ANoon),Wiener
Années de pèlerinage,(ah-NAY duh pell-ree-NAHZH),2018_IQBT_NASAT/Packet_18.pdf
Anopheles,(a-NAW-fuh-leez),Wiener
Anouilh,(ah-NOO-ee),2016_Terrapin/Packet_07.pdf
Anouilh,(ah-NOO-ee),2018_CMST/08.pdf
Anouilh,(ah-NOO-ee),nsc17/10.txt
Anouilh,(ah-NOO-ee),umdfall17/03.txt
Anqi Sheng,(ahn-chee shung),2018_ACF_Regionals/L._UCSD_A_+_UF_A_+_JHU_D.pdf
Ansar Dine,(dih-NAY),Wiener
Antaeus,(an-TEE-uhs),Wiener
Ante Pavelić,(ON-tay PAH-veh-leech),nsc18/04.txt
Antigone,(an-TIG-uh-nee),2018_CMST/06.pdf
Antigone,(an-TIG-uh-nee),Wiener
Antigonid,(an-TIG-uh-nid),Wiener
Antikythera,(an-TEE-kuh-THEE-ruh),Wiener
Antilochus,(an-TIL-o-kuhs),Wiener
Antinous,(aan-TI-no-uhs),Wiener
Antinous,(an-tih-NOH-us),2018_IQBT_NASAT/Packet_02.pdf
Antiochus,(ann-tee-OH-kus),Wiener
Antiope,(AN-TY-oh-pee),Wiener
Antiope,(ann-TIE-oh-pee),nsc17/10.txt
Antioquia,(ant-ee-oh-KEE-ah),nsc17/11.txt
Antipas,(AN-tih-pus),Wiener
Antipater,(an-tee-PAY-ter),Wiener
Antipholus,(an-TIFF-uh-luss),2018_IQBT_NASAT/Packet_07.pdf
Antisthenes,(ann-TISS-thin-eez),nsc18/14.txt
Antoine-Laurent Lavoisier,(on-TWON-loh-RON lahvwahz-YAY),2018_CMST/06.pdf
Anton van Leeuwenhoek,(LAY-von-hoke),Wiener
Antoni Gaudí,(gow-DEE),Wiener
Antonio Canova,(kuh-NOH-vuh),Wiener
Antonovich Cui,(say-zar CUE-ee),nsc17/11.txt
Antonín Dvořák,(dih-vor-JAHK),Wiener
António Lobo Antunes,(un-TOH-nee-oo LOH-boo un-TOO-nish),2018_CMST/02.pdf
Anu,(EY-noo),Wiener
Anubis,(uh-NOO-bis),Wiener
Anuradhapura,(uh-noo-RAH-dah-POO-ruh),2018_ACF_Regionals/J._Northwestern_A_+_Maryland_B_+_Oklahoma_A.pdf
Anwar Awlaki,(ow-LAH-kee),Wiener
Anytus,(ah-NEE-tuss),Wiener
Aoife,(EEF-yuh),2016_Terrapin/Packet_01.pdf
Aorangi,(ow-RONG-ee),Wiener
Aornum,(ay-OR-num),nsc18/16.txt
Aozou,(OW-zoo),Wiener
Apelles,(uh-PELL-eez),nsc18/11.txt
Apep,(EY-pep),Wiener
Aphakia,(uh-FAY-key-uh),Wiener
Aphrodite,(af-roh-DAI-tee),Wiener
Apollo,(aa-PAHL-oh),Wiener
Appiah,(APP-ee-ah),2018_CMST/13.pdf
Appiah,(APP-ee-uh),2018_IQBT_NASAT/Packet_05.pdf
Appian,(AH-pee-un),Wiener
Apsyrtus,(ap-SIR-tus),2017_ACF_Fall/JHU_B_McGill_A_NYU_A_UCSD_A.pdf
Apuleius,(uhPOO-lee-us),2018_ACF_Regionals/C._Michigan_A_+_Berkeley_B_+_MIT_A.pdf
Aquidneck,(uh-KWID-neck),Wiener
Arabidopsis thaliana,(uh-RAB-uh-dop-sis),Wiener
Arachne,(aa-RAHK-nee),Wiener
Arakcheev's,(ah-rock-CHAY-eff's),nsc17/16.txt
Aranjuez,(aa-rahn-WEZ),Wiener
Aranjuez,(ah-rahn-WEZZ),nsc17/01.txt
Arapesh,(aar-EY-pesh),Wiener
Arban,(ar-BAWN),nsc18/02.txt
Archaeopteryx,(AR-kay-OP-ter-icks),Wiener
Archanes,(ar-KAY-neez),Wiener
Archelaus,(ar-keh-LAY-us),Wiener
Archelaus,(ar-kuh-LAY-us),2018_IQBT_NASAT/Packet_16.pdf
Archilochus,(ar-KILL-uh-kuss),2018_IQBT_NASAT/Packet_02.pdf
Architectonicè,(ar-keeTEK-toh-nee-CHAY),2018_CMST/03.pdf
Arcite,(ar-KEE-tay),Wiener
Arduino,(AR-doo-EE-no),nsc18/03.txt
Arecibo,(AH-ruh-SEE-boh),Wiener
Arecibo,(ah-reh-SEE-bo),2018_ACF_Regionals/S._Editors_2.pdf
Arecibo,(ah-reh-SEE-boh),2017_NASAT/Round_20--Finals_or_Tiebreaker.pdf
Arenal,(ah-ray-NAHL),Wiener
Arendt,(AIR-unt),2018_CMST/14.pdf
Areopagite,(air-ee-OP-ug-ite),2018_IQBT_NASAT/Packet_03.pdf
Areopagus,(AIR-ee-OP-ug-giss),Wiener
Arequipa,(ah-ray-KEE-pah),Wiener
Ares,(AIR-eez),Wiener
Aretes,(uh-RET-eez),2018_CMST/04.pdf
Arethusa,(ar-uh-THOO-zuh),Wiener
Arezzo,(ah-RET-zoh),Wiener
Argenteuil,(ARR-zhan-tuy),nsc16/05.txt
Argus Panoptes,(paa-NOP-teez),Wiener
Argyll,(ar-GUILE),2018_CMST/13.pdf
Ariadne,(air-ee-AD-nee),Wiener
Ariadne,(air-ee-AD-nee),nsc18/13.txt
Ariadne,(air-ee-ADD-nee),nsc17/21.txt
Aricia,(uh-REE-see-uh),Wiener
Ariel Sharon,(shah-ROHN),Wiener
Arioch,(ARR-ee-ahk),Wiener
Aristaeus,(aa-riss-TAY-uss),Wiener
Aristaeus,(air-iss-TEE-us),nsc18/16.txt
Aristide Cavaillé-Coll's,(ah-ree-STEED KAH-vah-yay-CULL's),2017_NASAT/Round_02.pdf
Aristide,(AH-ress-teed),Wiener
Aristides,(ar-uh-STEE-deez),Wiener
Aristophanes,(ah-ruh-STAH-fuh-neez),Wiener
Aristoteles,(uh-riss-TOH-tell-eez),2018_IQBT_NASAT/Packet_01.pdf
Aristotle,(AA-ris-tah-tul),Wiener
Arius,(AIR-ee-us),Wiener
Ariza,(ah-REET-zuh),Wiener
Ariès,(ar-YES),2016_Terrapin/Packet_05.pdf
Arjuna,(ar-JOO-nuh),Wiener
Arkady Kirsanov,(ar-KAH-dee KEER-sah-noff),Wiener
Arles,(ARL),Wiener
Armageddon,(ahr-muh-GED-uhn),Wiener
Armagh,(arr-MAH),nsc16/13.txt
Arnaldo Tamayo,(tuh-MY-oh),Wiener
Arnaud Zajtman,(ar-NOH zite-MAHN),2018_CMST/15.pdf
Arnauld,(ar-NOH),nsc18/04.txt
Arnold of Brescia,(BREH-shuh),Wiener
Arondight,(AH-ron-dit),Wiener
Aroostook,(uh-RUSS-took),2018_IQBT_NASAT/Packet_06.pdf
Arques,(ARK),Wiener
Arras,(ah-ROSS),2017_NASAT/Round_06.pdf
Arras,(ah-ROSS),2018_ACF_Regionals/C._Michigan_A_+_Berkeley_B_+_MIT_A.pdf
Arras,(ah-ROSS),nsc17/03.txt
Arras,(ah-ROSS),nsc17/10.txt
Arregui,(ah-rey-GWEE),Wiener
Artabanus,(ar-tah-BAA-noos),Wiener
Artamène,(ar-tah-MEN),2018_IQBT_NASAT/Packet_06.pdf
Artaphernes,(ART-ah-fur-nayz),Wiener
Artaxerxes,(ARR-tuh-zerk-sees),Wiener
Artemesia,(ar-tem-EE-zee-uh),Wiener
Artemesium,(art-uh-ME-see-um),Wiener
Artemis,(AHR-tuh-mis),Wiener
Artemisium,(ar-tem-EE-zee-um),Wiener
Arthur Honegger,(ar-TOOR oh-neh-GAIR),nsc18/06.txt
Arthur Pigou,(pig-OO),Wiener
Arthur Rimbaud,(ar-TOOR ram-BOH),nsc18/14.txt
Arthur Schopenhauer,(SHOW-pen-HOW-ur),Wiener
