word,PG,source
Adziogol,(AH-jig-ohl),2018_IQBT_NASAT/Packet_12.pdf
Adès,(ADD-iss),2018_CMST/13.pdf|2018_IQBT_NASAT/Packet_14.pdf
Aeacus,(EE-ah-kus),2017_ACF_Regionals/B_-_Maryland_B_+_Oxford_A.pdf
Aeacus,(EE-uh-kuss),Wiener
Aeaea,(EYE-ee-uh),Wiener
Aeaea,(ee-EE-uh),2018_CMST/14.pdf|nsc18/09.txt
Aedicule,(EE-dih-kyool),2018_CMST/09.pdf
Aeetes,(ai-EE-teez),Wiener
Aegean,(uh-JEE-un),Wiener
Aegeus,(EE-gee-us),nsc17/21.txt
Aegeus,(EE-jee-us),Wiener
Aegeus,(ee-JEE-us),2018_CMST/06.pdf
Aegir,(EY-jeer),Wiener
Aegisthus,(eye-JIS-thiss),Wiener
Aegospotami,(ee-goh-SPOH-tuh-mai),Wiener
Aegyptus,(ih-JIP-tus),2018_CMST/05.pdf
Aelia,(eye-LEE-uh),Wiener
Aeneas,(eh-NEE-uhs),Wiener
Aeneas,(ih-NEE-is),2018_CMST/07.pdf
Aeneid,(ih-NEE-id),2018_CMST/07.pdf
Aeneid,(uh-NEE-id),Wiener
Aeolian,(ay-OH-lee-in),smt/02.txt
Aeolian,(ee-OH-lee-an),nsc18/01.txt|nsc18/09.txt
Aeolic,(ai-OH-lik),Wiener
Aeolus,(ee-OHL-iss),Wiener
Aequi,(EYE-kwee),Wiener
Aequorea victoria,(eye-QUO-ree-ah victoria),2017_ACF_Regionals/B_-_Maryland_B_+_Oxford_A.pdf
Aernouts,(AR-noutz),2018_ACF_Nationals/03_-_Prelims_3_-_Michigan_A.pdf
Aesacus,(eye-SAY-kuss),2018_IQBT_NASAT/Packet_17.pdf
Aeschines,(ICE-kuh-neez),Wiener
Aeschines,(ISS-kin-eez),nsc18/09.txt
Aeschnogomphus,(esk-no-GOM-fus),2017_NASAT/Round_02.pdf
Aeschylus,(ESK-uh-liss),Wiener
Aeschylus,(ESS-kuh-luss),2018_CMST/02.pdf
Aesir,(AY-seer),2018_CMST/06.pdf
Aesir,(EY-seer),Wiener
Aethelberht,(ATH-ul-bert),2017_ACF_Regionals/A_-_Maryland_A_+_UCSD_B.pdf
Aetheling,(EIGHTH-ling),Wiener
Aethelred,(ETH-ul-red),Wiener
Aethelwulf,(AA-thul-wolf),Wiener
Aether,(ee-ther),nsc18/AS.txt
Aetius,(EYE-tee-uss),Wiener
Aeëtes,(ay-EE-teez),smt/02.txt
Afrikaans,(ah-free-KAHNZ),Wiener
Agamemnon,(ag-uh-MEM-nahn),Wiener
Aganippe,(AG-uh-nip-ee),Wiener
Agariste,(ah-gar-IS-tay),Wiener
Agate,(AGG-it),2018_CMST/15.pdf
Agathe’s,(ah-GAH-tuh’s),2018_CMST/12.pdf
Agelaus,(aj-uh-LAY-us),2018_IQBT_NASAT/Packet_17.pdf
Agesilaus,(aa-JESS-ee-LAY-us),Wiener
Aghlabid,(AG-luh-bid),2017_ACF_Regionals/L_-_Berkeley_A_+_WUSTL_A_+_Northwestern_A_+_Michigan_B.pdf
Agiad,(EY-jee-ad),Wiener
Agincourt,(AH-jin-cor),Wiener
Agnesi,(ahn-YAY-zee),nsc18/15.txt
Agnus Dei,(AHG-nuss day),Wiener
Agnus Dei,(AHN-yoos DAY-ee),2017_ACF_Regionals/K_-_Chicago_A_+_Cornell_A.pdf
Agnès Sorel,(on-YES so-REL),2017_NASAT/Round_06.pdf
Agon,(AA-gohn),Wiener
Agostinho Neto,(a-goos-CHEE-nyu NYEH-tu),mysterium/01.txt
Agostinho Neto,(ah-goosh-TEEN-yoo NET-oo),2018_CMST/08.pdf
Agra,(AH-grah),Wiener
Agricola,(aa-GRIK-oh-lah),Wiener
Agrippina,(ag-rip-EE-nuh),Wiener
Agulhas,(aa-GOOL-yas),Wiener
Agwe,(UG-way),Wiener
Ah! Non credea mirarti,(ah non cre-DAY-uh meer-AR-tee),2017_ACF_Fall/Chicago_A_Michigan_A_Rutgers_B_St._Olaf_Toronto_B_UCF_A.pdf
Ahaseurus,(AH-hosh-VAY-ros),Wiener
Ahasuerus,(ah-hah-soo-AIR-us),2017_ACF_Regionals/C_-_Maryland_C_+_Toronto_A.pdf
Ahasuerus,(ah-hahsh-VAIR-ohs),Wiener
Ahasuerus,(aha-SWARE-us),2017_NASAT/Round_12.pdf
Ahitophel,(ah-HIT-uh-fel),Wiener
Ahl al-Bayt,(AH-hull ull-BAIT),2017_NASAT/Round_03.pdf
Ahmadiyya,(akh-muh-DEE-uh),Wiener
Ahmed Kasuri,(koo-SOO-ree),Wiener
Ahmedinejad,(ah-mah-DIN-uh-jahd),Wiener
Ahura Mazda,(AH-hoo-ruh mahz-DAH),Wiener
Aias,(AI-uhs),Wiener
Aida,(ai-EE-duh),Wiener
Aigaleo,(eye-gah-LAY-oh),2017_ACF_Regionals/M_-_Columbia_A_+_Carleton_A_+_Michigan_State.pdf
Aimé Césaire,(ay-MAY say-ZAIR),mysterium/05.txt
Aimé Césaire,(ay-mee si-ZAIR),nsc16/09.txt
Ainnurruvar,(eye-NOO-ruh-var),2018_IQBT_NASAT/Packet_01.pdf
Ainu,(EYE-noo),Wiener
Aisha,(eye-EE-shuh),Wiener
Aissatou,(eye-SAH-too),2017_ACF_Regionals/O_-_Editors_2.pdf
Aix,(ex),Wiener
Aix-Marseille,(ex-mar-SAY),nsc18/03.txt
Aix-la-Chapelle,(EX-la-shah-PELL),2018_IQBT_NASAT/Packet_17.pdf
Aix-la-Chapelle,(EYE-lah-shah-PELL),Wiener
Ajuda,(uh-ZHOO-duh),2017_NASAT/Round_17.pdf|2018_IQBT_NASAT/Packet_04.pdf
Akaky Akakievich,(uh-KAH-kee uh-kahk-YAY-vitch),Wiener
Akan,(uh-KON),2018_IQBT_NASAT/Packet_05.pdf
Akasaki,(AH-kuh-SAH-kee),Wiener
Akazu,(ah-KAH-zoo),Wiener
Akhenaten,(AH-ken-AH-ten),Wiener
Akhmat Kadyrov,(OK-mot KAH-dih-rov),2018_IQBT_NASAT/Packet_12.pdf
Akhmatova,(ahkh-MAH-tuh-vuh),2018_IQBT_NASAT/Packet_17.pdf
Al Borak,(al-BAW-rak),Wiener
Al-Masih ad-Dajjal,(al-mah-SEE ad-dah-JAHL),2017_ACF_Regionals/P_-_Editors_3.pdf
Al-Shabab,(shuh-BOB),Wiener
Alain Touraine,(ah-LAN too-REN),2018_CMST/03.pdf
Alain-Fournier’s,(ah-LAN-foorn-YAY’s),2018_CMST/13.pdf
Alais,(ah-LESS),nsc18/11.txt
Alamogordo,(AL-uh-muh-GORE-doh),Wiener
Alan Guth,(GOOTH),Wiener
Alanis,(ah-LAHN-eece),Wiener
Alban Berg's,(ALL-bahn BAIRG's),nsc18/13.txt
Alban Berg,(ALL-bahn BAIRG),2018_IQBT_NASAT/Packet_09.pdf|nsc18/19.txt
Alberich,(AAL-beh-rik),Wiener
Albert Camus,(al-BAIR cah-MOO),Wiener
Albert Camus,(al-BAIR kah-MOO),nsc18/23.txt
Albert Camus’s,(ahl-BARE kuh-MOO’s),2018_CMST/16_Tiebreakers.pdf
Albigensian,(AL-bij-EN-si-un),Wiener
Albizzi,(al-BEET-see),Wiener
Alboran,(ahl-boh-RAHN),Wiener
Albrecht von Wallenstein,(AL-bresht von VAHL-ensh-teen),Wiener
Albunea,(al-BYOO-nee-uh),2018_CMST/07.pdf
Alcacer Quibir,(al-cah-SEAR kwi-BEER),2017_ACF_Fall/Editors_1.pdf
Alceo,(al-CHAY-oh),2016_Terrapin/Packet_09.pdf
Alceste,(al-SEST),Wiener
Alcestis,(all-CEST-is),Wiener
Alchian,(AL-chee-an),2017_ACF_Regionals/G_-_Michigan_A_+_Johns_Hopkins_B.pdf
Alcibiades,(AAL-sib-ee-AH-deez),Wiener
Alcide De Gasperi,(AHL-chee-day),Wiener
Alcides,(al-SEE-dayz),Wiener
Alcindoro,(ahl-cheen-DOR-oh),Wiener
Alcinous's,(al-kih-NOH-us's),nsc18/24.txt
Alcinous,(al-KEE-no-uhs),Wiener
Alcippe,(al-KIP-ee),Wiener
Alcmene,(alk-MEE-nee),Wiener|nsc17/22.txt
Alcyone,(al-SEE-uh-nee),Wiener
Alcázar,(ahl-CAH-zar),Wiener
Alec Leamas,(LEE-mas),Wiener
Alejo Carpentier,(ah-LAY-ho car-pen-tee-AIR),nsc18/15.txt
Aleksander Kwaśniewski,(KWAZ-nee-EV-skee),Wiener
Alesia,(aa-LEZ-ee-uh),Wiener
Alexander Dubček,(DOOB-check),Wiener
Alexander Herzen,(HURT-zen),Wiener
Alexiares,(uh-lex-ee-ARR-eez),nsc18/18.txt
Alexis Tsipras,(TEE-pross),Wiener
Alfonso XIII,(the thirteenth),nsc18/05.txt
Alfred Wegener,(VEG-uh-ner),Wiener
Alfvén's,(all-VANE's),nsc17/03.txt
Alfvén,(all-VANE),2018_CMST/07.pdf
Algarve,(al-GARV),Wiener
Ali al-Nimr,(al-NAHM),Wiener
Ali,(AH-lee),Wiener
Alighieri,(ah-lig-YEH-ree),Wiener
Alija Izetbegović,(ah-LEE-ah ee-zet-BEG-oh-vitch),2018_CMST/01.pdf
Aljubarrota,(AHL-zhu-bar-oh-tah),2018_ACF_Nationals/02_-_Prelims_2_-_Minnesota_A.pdf
Aljubarrota,(al-HOO-bah-rote-ah),2017_ACF_Fall/Editors_1.pdf
Allais,(ah-LAY),nsc18/14.txt
Allanque,(awl-LAWN-kay),Wiener
Allen,(radiation),2017_ACF_Regionals/O_-_Editors_2.pdf
Allstedt,(AHL-shtet),2018_ACF_Nationals/04_-_Prelims_4_-_Maryland_A.pdf
Allégret,(al-LAY-gray),2017_ACF_Regionals/F_-_Harvard_A_+_Oxford_B.pdf
Almaty,(aal-MAH-tee),Wiener
Almaviva,(ahl-mah-VEE-vah),Wiener
Almásy,(ALL-mah-shee),2018_CMST/10.pdf
Aloadae,(ah-LOH-ah-dye),nsc18/24.txt
Alowatsakima,(ah-lo-wat-sa-KEE-mah),Wiener
Aloysius Bertrand,(ah-loy-zee-OOSE bair-TRAWN),nsc18/10.txt
Aloysius Lilius,(AA-loh-wish-us LIL-ee-us),Wiener
Aloysius,(al-oo-ISH-us),2017_ACF_Regionals/M_-_Columbia_A_+_Carleton_A_+_Michigan_State.pdf
Also Sprach Zarathustra,(ALL-zoh shprock tsah-rah-TOOS-trah),nsc18/04.txt
Also Sprach Zarathustra,(SHPRAHK),Wiener
Althing,(ALL-thing),Wiener
Altranstadt,(AHL-tronsh-tot),Wiener
Alu,(AL-oo),nsc18/16.txt
Alvaro Uribe,(ahl-VAH-roh oo-REE-ay),Wiener
Alvaro,(oo-REE-bay),Wiener
Alvise da Cadamosto,(all-VEE-say da kah-dah-MOH-stoo),2018_ACF_Regionals/I._Missouri_A_+_JHU_C_+_McGill_A.pdf
Alxa,(AL-shuh),Wiener
Alès,(ah-LAY),Wiener
Amalekites,(ah-MAA-leh-kites),Wiener
Amalia von Edelreich,(ah-MALL-yah fon AID-ull-ryke),nsc18/01.txt
Amaltheia,(am-al-THEE-uh),Wiener
Amar Shonar Bangla,(ah-MAHR shoh-NAHR bahn-GLAH),Wiener
Amaterasu,(ah-MAH-ter-AH-soo),Wiener
Amazigh,(AA-muh-zig),Wiener
Amboise,(AM-bwah),Wiener
Ambroise Thomas,(awm-BWAHZ toh-MAH),nsc17/10.txt
Ambrosia,(am-BROH-juh),Wiener
Amharic,(am-HAH-rik),Wiener
Ami Perrin,(ah-MEE peh-RAHN),2017_ACF_Regionals/J_-_Virginia_A_+_Kenyon_+_Yale_A.pdf
Amidah,(ah-mee-DAH),nsc18/18.txt
Amitabha,(ah-mee-TAH-buh),2018_ACF_Regionals/R._Editors_1.pdf|Wiener
Amitābha,(uh-mee-TAH-buh),2018_IQBT_NASAT/Packet_14.pdf
Ammisaduqa,(ahm-mee-sah-DOO-kah),2018_ACF_Regionals/K._Chicago_A_+_Washington_A_+_NYU_A.pdf
Amneris,(ohm-NAY-rees),Wiener
Amontillado,(ah-mahn-tee-YAH-doh),Wiener
Amos Oz,(ah-MOSE OHZ),nsc18/04.txt
Amour sacré de la patrie,(ah-MOOR sah-KRAY de la PAH-tree),2017_ACF_Regionals/L_-_Berkeley_A_+_WUSTL_A_+_Northwestern_A_+_Michigan_B.pdf
Amphiaraus,(am-fee-uh-RAY-us),2018_CMST/15.pdf
Amphictyonic,(am-FIK-tee-AH-nik),Wiener
Amphictyonic,(am-fik-tee-ON-ick),2018_IQBT_NASAT/Packet_11.pdf
Amphion,(AMF-ee-ahn),Wiener
Amphipolis,(am-FIP-oh-liss),Wiener
Amphitrite,(am-fih-TRY-tee),nsc18/09.txt
Amphitrite,(am-fit-RAI-tee),Wiener
Amphitryon's,(am-FIT-tree-on's),nsc17/22.txt
Amphitryon,(am-FIH-tree-ahn),Wiener
Amphitryon,(am-FIT-tree-on),2018_IQBT_NASAT/Packet_03.pdf
Amritsar,(AHM-reet-sahr),Wiener
Amun,(AH-mun),Wiener
Amun-her-Khepeshef,(ah-mun-hair-KEP-esh-eff),Wiener
Amymone,(ah-mee-MOH-nee),2018_CMST/13.pdf
Amélie Poulain,(ah-may-LEE poo-LAN),2018_CMST/15.pdf
An Jung-geun,(ahn joong-gun),2018_CMST/02.pdf
Anagni,(ah-NAHN-yee),2018_CMST/15.pdf
Anangu,(ah-NAHN-goo),Wiener
Ananias,(aa-nuh-NAI-us),Wiener
Ananke,(A-nan-kee),Wiener
Anansi,(ah-NAHN-see),Wiener
Anastasiades,(an-tass-EYE-uh-deez),Wiener
Anastasio,(ah-nas-TASS-ee-oh),Wiener
Anaïs,(ah-nah-EES),2018_CMST/13.pdf
Anchises,(an-KAI-seez),Wiener
Anchises,(an-KY-seez),2018_CMST/07.pdf
Ancien Régime,(ahn-see-EN RAY-zheem),2017_ACF_Regionals/O_-_Editors_2.pdf
Andalzuá,(ahn-dal-zoo-AH),2018_ACF_Regionals/D._Wright_State_A_+_UIUC_B_+_Chicago_C.pdf
Andante cantabile,(on-DON-tay con-TAH-bee-lay),nsc18/05.txt
Andante favori,(ahn-DAHN-tay fah-VOH-ree),2017_ACF_Regionals/E_-_Florida_A_+_Johns_Hopkins_A.pdf
Andeng,(ahn-dung),2018_ACF_Nationals/TB01_-_Tiebreaker_1_-_WUSTL.pdf
Andersen,(AWN-uh-sin),nsc18/01.txt
Andraste,(ohn-DROST),Wiener
Andre Derain,(duh-RAIN),Wiener
Andrea Mantegna,(ahn-DRAY-ah mahn-TANE-yah),nsc17/03.txt
Andreev,(on-DRAY-eff),nsc17/05.txt
Andrei Zhdanov,(juh-DON-off),Wiener
Andrew Carnegie,(car-NAYG-ee),Wiener
Androcles,(ANN-droh-kleez),nsc17/05.txt
Androgeus,(an-droh-JAY-uss),Wiener
Andromeda,(an-DRAHM-uh-duh),Wiener
Androuet du Cerceau,(awn-droo-AY du ser-SOH),2017_ACF_Regionals/C_-_Maryland_C_+_Toronto_A.pdf
András Hegedüs,(ON-drahsh HEG-ed-yoosh),smt/09.txt
András Schiff,(ON-drahsh SHEEF),2017_NASAT/Round_03.pdf
Andrés Núñez,(ohn-DRAYS NOON-yez),Wiener
Andvaranaut,(OND-var-uh-NOWT),2018_CMST/10.pdf
Anfao,(an-FOW),Wiener
Angers,(on-JAY),mysterium/09.txt
Angevin,(OHN-juh-vin),Wiener
Angevins,(ANN-juh-vins),2018_IQBT_NASAT/Packet_18.pdf
Angirasas,(un-GHEE-ruh-suhs),2018_IQBT_NASAT/Packet_05.pdf
Angrboda,(anger-bode-uh),Wiener
Anhedonia,(an-heh-DOH-nia),2017_NASAT/Round_18.pdf
Anicetus,(ann-ih-SEE-tuss),nsc18/18.txt
Animas River,(AA-nim-us),Wiener
Anjou,(on-JOO),Wiener
Ankhesenamun,(ohn-kes-en-AH-mun),Wiener
Ankou,(ahn-koo),Wiener
Anna Freud,(AH-nah FROYD),2018_IQBT_NASAT/Packet_11.pdf
Anna Sergeyevna,(SIR-gay-EV-nah),Wiener
Annibale Carracci,(ahn-nee-BAH-lay car-AH-chee),2018_CMST/10.pdf
Annwn,(AN-oon),Wiener
Années de pèlerinage,(ah-NAY duh pell-ree-NAHZH),2018_IQBT_NASAT/Packet_18.pdf
Anopheles,(a-NAW-fuh-leez),Wiener
Anouilh,(ah-NOO-ee),2016_Terrapin/Packet_07.pdf|2018_CMST/08.pdf|nsc17/10.txt|umdfall17/03.txt
Anouilh’s,(ah-NOO-ee’s),smt/03.txt
Anqi Sheng,(ahn-chee shung),2018_ACF_Regionals/L._UCSD_A_+_UF_A_+_JHU_D.pdf
Ansar Dine,(dih-NAY),Wiener
Antaeus,(an-TEE-uhs),Wiener
Ante Pavelić,(ON-tay PAH-veh-leech),nsc18/04.txt
Antheil,(ANN-till),2017_ACF_Regionals/M_-_Columbia_A_+_Carleton_A_+_Michigan_State.pdf
Anthelme Brillat-Savarin,(on-TELM bree-YAH-sav-RAN),smt/09.txt
Antigone,(an-TIG-uh-nee),2018_CMST/06.pdf|Wiener
Antigonid,(an-TIG-uh-nid),Wiener
Antikythera,(an-TEE-kuh-THEE-ruh),Wiener
Antilochus,(an-TIL-o-kuhs),Wiener
Antinous,(aan-TI-no-uhs),Wiener
Antinous,(an-tih-NOH-us),2017_ACF_Regionals/H_-_Ohio_State_A_+_Caltech_A.pdf|2018_IQBT_NASAT/Packet_02.pdf
Antiochus,(ann-tee-OH-kus),Wiener
Antiope,(AN-TY-oh-pee),Wiener
Antiope,(ann-TIE-oh-pee),nsc17/10.txt
Antioquia,(ant-ee-oh-KEE-ah),nsc17/11.txt
Antipas,(AN-tih-pus),Wiener
Antipater,(an-tee-PAY-ter),Wiener
Antipholus,(an-TIFF-uh-luss),2018_IQBT_NASAT/Packet_07.pdf
Antisthenes,(ann-TISS-thin-eez),nsc18/14.txt
Antoine-Laurent Lavoisier,(on-TWON-loh-RON lahvwahz-YAY),2018_CMST/06.pdf
Anton van Leeuwenhoek,(LAY-von-hoke),Wiener
Antoni Gaudí,(gow-DEE),Wiener
Antonietta Dell’Era,(an-tone-YET-ah dell-EH-rah),2017_ACF_Regionals/B_-_Maryland_B_+_Oxford_A.pdf
Antonio Canova,(kuh-NOH-vuh),Wiener
Antonovich Cui,(say-zar CUE-ee),nsc17/11.txt
Antonín Dvořák,(dih-vor-JAHK),Wiener
António Lobo Antunes,(un-TOH-nee-oo LOH-boo un-TOO-nish),2018_CMST/02.pdf
Anu,(EY-noo),Wiener
Anubis,(uh-NOO-bis),Wiener
Anuradhapura,(uh-noo-RAH-dah-POO-ruh),2018_ACF_Regionals/J._Northwestern_A_+_Maryland_B_+_Oklahoma_A.pdf
Anwar Awlaki,(ow-LAH-kee),Wiener
Anytus,(ah-NEE-tuss),Wiener
Aoife,(EEF-yuh),2016_Terrapin/Packet_01.pdf
Aorangi,(ow-RONG-ee),Wiener
Aornum,(ay-OR-num),nsc18/16.txt
Aozou,(OW-zoo),Wiener|smt/02.txt
Apelles,(uh-PELL-eez),nsc18/11.txt
Apep,(EY-pep),Wiener
Aphakia,(uh-FAY-key-uh),Wiener
Aphrodite,(af-roh-DAI-tee),Wiener
Apollo,(aa-PAHL-oh),Wiener
Appiah,(APP-ee-ah),2018_CMST/13.pdf
Appiah,(APP-ee-uh),2018_IQBT_NASAT/Packet_05.pdf
Appian,(AH-pee-un),Wiener
